# Average slewing corrections obtained with run 12995.
# Channels 456 458 688 689 860 862 896 898 behave differently and have been fitted separately with CHANTITimeSlewing
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
982     -0.04189    8.21      1.8425
983     0    0      0
984     -0.03482	   13.68      0.4442
985     0    0      0
986     -0.04189    8.21      1.8425
987     0    0      0
988     -0.03482	   13.68      0.4442
989     0    0      0
990     -0.04189    8.21      1.8425
991     0    0      0
992     0    0      0
993     0    0      0
994     0    0      0
995     0    0      0
996     0    0      0
997     0    0      0
998     0    0      0
999     0    0      0
1000     0    0      0
1001     0    0      0
1002     0    0      0
1003     0    0      0
1004     0    0      0
1005     0    0      0
1006     0    0      0
1007     0    0      0
1008     0    0      0
1009     0    0      0
1010     0    0      0
1011     0    0      0
1012     0    0      0
1013     0    0      0
1014     0    0      0
1015     0    0      0
1016     0    0      0
1017     0    0      0
1018     0    0      0
1019     0    0      0
1020     0    0      0
1021     0    0      0
1022     0    0      0
1023     0    0      0
1024     -0.03482	   13.68      0.4442
1025     0    0      0
1026     -0.04189    8.21      1.8425
1027     0    0      0
1028     -0.03482	   13.68      0.4442
1029     0    0      0
1030     -0.04189    8.21      1.8425
1031     0    0      0
1032     -0.03482	   13.68      0.4442
1033     0    0      0
1034     -0.04189    8.21      1.8425
1035     0    0      0
1036     -0.03482	   13.68      0.4442
1037     0    0      0
1038     -0.04189    8.21      1.8425
1039     0    0      0
1040     -0.03482	   13.68      0.4442
1041     0    0      0
1042     -0.04189    8.21      1.8425
1043     0    0      0
1044     -0.03482	   13.68      0.4442
1045     0    0      0
1046     -0.04189    8.21      1.8425
1047     0    0      0
1048     -0.03482	   13.68      0.4442
1049     0    0      0
1050     -0.04189    8.21      1.8425
1051     0    0      0
1052     -0.03482	   13.68      0.4442
1053     0    0      0
1054     -0.04189    8.21      1.8425
1055     0    0      0
1056     -0.03482	   13.68      0.4442
1057     0    0      0
1058     -0.04189    8.21      1.8425
1059     0    0      0
1060     -0.03482	   13.68      0.4442
1061     0    0      0
1062     -0.04189    8.21      1.8425
1063     0    0      0
1064     -0.03482	   13.68      0.4442
1065     0    0      0
1066     -0.04189    8.21      1.8425
1067     0    0      0
1068     -0.03482	   13.68      0.4442
1069     0    0      0
1070     -0.04189    8.21      1.8425
1071     0    0      0
1072     -0.03482	   13.68      0.4442
1073     0    0      0
1074     -0.04189    8.21      1.8425
1075     0    0      0
1076     -0.03482	   13.68      0.4442
1077     0    0      0
1078     -0.04189    8.21      1.8425
1079     0    0      0
1080     -0.03482	   13.68      0.4442
1081     0    0      0
1082     -0.04189    8.21      1.8425
1083     0    0      0
1084     -0.03482	   13.68      0.4442
1085     0    0      0
1086     -0.04189    8.21      1.8425
1087     0    0      0
1088     -0.04189    8.21      1.8425
1089     0    0      0
1090     -0.03482	   13.68      0.4442
1091     0    0      0
1092     -0.03482	   13.68      0.4442
1093     0    0      0
1094     -0.04189    8.21      1.8425
1095     0    0      0
1096     -0.03482	   13.68      0.4442
1097     0    0      0
1098     -0.04189    8.21      1.8425
1099     0    0      0
1100     -0.03482	   13.68      0.4442
1101     0    0      0
1102     -0.04189    8.21      1.8425
1103     0    0      0
1104     -0.03482	   13.68      0.4442
1105     0    0      0
1106     -0.04189    8.21      1.8425
1107     0    0      0
1108     -0.03482	   13.68      0.4442
1109     0    0      0
1110     -0.04189    8.21      1.8425
1111     0    0      0
1112     -0.03482	   13.68      0.4442
1113     0    0      0
1114     -0.04189    8.21      1.8425
1115     0    0      0
1116     -0.03482	   13.68      0.4442
1117     0    0      0
1118     -0.04189    8.21      1.8425
1119     0    0      0
1120     0    0      0
1121     0    0      0
1122     0    0      0
1123     0    0      0
1124     0    0      0
1125     0    0      0
1126     0    0      0
1127     0    0      0
1128     0    0      0
1129     0    0      0
